"X...ID";"ClassNr";"Grade";"Sex";"AgeW1";"ETH01";"ETH03";"EduLevel";"StateW16";"TypeD1";"AWB01W14";"CWB01W14";"MPT01W14";"INTGDW1";"INTGFW1";"INTGMW1";"INPD1W1";"INAD1W1";"INPD2W1";"INAD2W1";"INPF1W1";"INAF1W1";"INPF2W1";"INAF2W1";"INAL0W1";"INC01W13";"INF01W1";"INF02W1";"FBI01W1R";"FBI02W1";"IFI01W1";"IFI02W1";"FNr01W1";"NCompletedE1";"NCompletedE2";"donated";"DDPcomp";"intended";"numcompl";"PAF";"NAF";"SEEW14";"LONW14";"SRT14";"SCPW1";"MPSW1";"FQW1";"PRW14";"PMKW14";"ADSW14"
196;"21";"9";"Jongen";14.01834;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";3;15;"7 dagen";"Nooit";"7 dagen";"4 dagen";2;0;5;1;"INAL5W1";"none";250;2;7;5;4;2;6;120;123;0;1;1;100;4.42857142857143;1.42857142857143;4.5;2.4;4.11111111111111;2;2.4;4.5;2;5;1
339;"18";"9";"Meisje";14.27033;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;7;"Ik heb een iPhone";"7 keer  per week";10;50;"7 dagen";"Nooit";"7 dagen";"7 dagen";10;0;2;1;"INAL2W1";"none";530;4;6;6;4;2;20;116;104;0;1;0;100;3.85714285714286;2.28571428571429;4.5;1;3;4;3.6;4.25;2;2.75;3
148;"7";"9";"Jongen";14.26973;"Nederland";"Nederlander";"Havo";"completed";NA;5;6;"Ik heb een iPhone";"Minder dan  1 dag  per week";1;9;"1 dag";"1 dag";"Nooit";"Nooit";1;1;0;0;"INAL5W1";"one";240;4;8;NA;6;4;3;84;15;0;1;0;100;3.71428571428571;3.14285714285714;5;2.4;2.55555555555556;2.33333333333333;3;4.25;2;3;1.5
181;"30";"9";"Meisje";15.1021;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;7;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"6 keer  per week";2;10;"4 dagen";"1 dag";"4 dagen";"4 dagen";2;1;2;2;NA;"one";250;5;7;6;5;6;20;109;103;0;1;0;100;3.71428571428571;1.71428571428571;3.75;1.4;3.22222222222222;4;2.6;4.5;3;2.5;2.5
28;"8";"8";"Meisje";13.35543;"Nederland";"Nederlander";"Vmbo";"completed";NA;4;5;"Ik heb een iPhone";"7 keer  per week";5;180;"7 dagen";"1 dag";"7 dagen";"1 dag";2;1;3;1;NA;"multiple";200;1;5;4;2;1;3;71;42;0;0;1;89;3;2.57142857142857;3.5;1.6;1.88888888888889;2;2.8;4.5;3;3.5;3.5
222;"31";"9";"Meisje";14.60401;"Nederland";"Nederlander";"Vmbo";"completed";"public";6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";15;10;"7 dagen";"Nooit";"7 dagen";"7 dagen";10;0;10;10;"INAL2W1";"one";345;3;8;NA;4;4;5;99;114;1;1;1;100;3.71428571428571;4.14285714285714;4.25;1.4;3.22222222222222;4.33333333333333;3.6;4.5;2;2.5;1
139;"10";"9";"Jongen";14.18521;"Nederland";"Nederlander";"Vmbo";"completed";"public";6;8;"Ik heb een iPhone";"7 keer  per week";3;35;"6 dagen";"1 dag";"1 dag";"1 dag";2;1;1;2;NA;"none";263;4;8;NA;5;6;5;111;108;1;1;1;100;4.28571428571429;2.14285714285714;4;2;3.44444444444444;5;3;4.25;2;2.75;2.25
5;"21";"9";"Jongen";15.01764;"Nederland";"Nederlander";"Havo";"completed";NA;7;1;"Ik heb een iPhone";"7 keer  per week";6;30;"7 dagen";"Nooit";"7 dagen";"7 dagen";10;0;3;3;"INAL2W1";"none";329;1;9;7;1;1;10;121;56;0;1;0;81;2;3.28571428571429;4.5;1;3.22222222222222;7;2.6;4;4;1;1
53;"18";"9";"Jongen";14.01849;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;5;6;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"Minder dan  1 dag  per week";2;5;"1 dag";"Nooit";"Nooit";"Nooit";1;0;0;0;"INAL3W1,INAL4W1";"none";50;1;NA;NA;2;1;4;70;79;0;1;0;88;3.85714285714286;1.57142857142857;4.5;1.4;3.33333333333333;1.66666666666667;2;3.75;0;2;1
320;"17";"8";"Meisje";14.10285;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;7;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";4;10;"Nooit";"Nooit";"2 dagen";"4 dagen";0;0;1;5;"INAL2W1";"one";270;4;6;4;5;4;15;107;67;0;0;1;96;4;2.14285714285714;4.5;1;4.22222222222222;2.33333333333333;2.4;4.5;3;4;1.5
62;"24";"9";"Jongen";14.52195;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;1;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";4;30;"7 dagen";"3 dagen";"7 dagen";"7 dagen";3;1;3;3;NA;"none";432;1;8;NA;1;1;25;68;31;0;1;0;100;4;2.57142857142857;5;1;4.33333333333333;1.33333333333333;2.6;4.75;2;4;1
351;"6";"9";"Meisje";14.01821;"Nederland";"Nederlander";"Havo";"completed";NA;5;3;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";5;60;"7 dagen";"2 dagen";"3 dagen";"1 dag";5;2;2;3;NA;"multiple";227;4;7;7;5;3;10;103;83;0;1;0;91;2.28571428571429;3.28571428571429;1;3.2;2.33333333333333;4.66666666666667;1.8;4.25;3;3.25;1.5
68;"18";"9";"Meisje";14.52212;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";8;30;"7 dagen";"Nooit";"Nooit";"Nooit";3;0;0;0;"INAL2W1,INAL3W1,INAL4W1";"none";300;2;NA;NA;3;2;5;110;39;0;1;0;94;4.14285714285714;2.71428571428571;4;2.2;3.88888888888889;5.66666666666667;2.2;4;1;2.25;1
267;"7";"9";"Meisje";14.43666;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een iPhone";"7 keer  per week";4;20;"7 dagen";"Nooit";"3 dagen";"Nooit";4;1;3;0;"INAL2W1,INAL4W1";"multiple";1070;4;NA;NA;5;5;30;95;72;0;1;0;76;3.85714285714286;2;4.5;1;3.22222222222222;3.66666666666667;3.4;5;2;3.25;1.5
380;"30";"9";"Jongen";14.26982;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"attrition";NA;NA;NA;NA;"6 keer  per week";2;15;"3 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL5W1";"none";150;1;NA;NA;NA;NA;12;68;NA;0;0;0;80;3.28571428571429;2.42857142857143;NA;NA;NA;3.33333333333333;2.8;4;0;NA;NA
292;"6";"9";"Jongen";14.43689;"Nederland";"Nederlander";"Havo";"completed";"public";5;6;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";10;120;"7 dagen";"Nooit";"7 dagen";"4 dagen";200;0;15;10;"INAL2W1";"none";830;2;8;NA;1;4;3;121;119;1;1;1;100;2.71428571428571;2.85714285714286;4;1;3.44444444444444;7;3.6;4.25;0;1;1
123;"21";"9";"Meisje";14.85068;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een iPhone";"6 keer  per week";1;5;"5 dagen";"Nooit";"Nooit";"Nooit";4;0;0;0;"INAL2W1";"none";334;4;NA;NA;4;4;15;104;78;0;1;0;100;3.42857142857143;2.28571428571429;3.5;1.2;4.55555555555556;5;3.4;4.5;2;3;1
73;"26";"9";"Meisje";14.35522;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;6;8;"Ik heb een iPhone";"7 keer  per week";15;45;"7 dagen";"1 dag";"7 dagen";"6 dagen";10;1;2;2;NA;"none";400;6;7;6;5;5;14;78;52;0;1;0;100;3.85714285714286;3.28571428571429;3.25;2.4;3.44444444444444;4.66666666666667;3.6;3.75;3;2.25;2.5
